"Colony" "Distance" "Mass" "Headwidth" "Headwidth..mm." "Size.class"
6 10 35 27 1.137 "<30"
6 10 87 39 1.642 "35-39"
6 10 138 42 1.768 "40-43"
6 10 68 37 1.558 "35-39"
6 10 95 42 1.768 "40-43"
6 10 97 43 1.811 "40-43"
6 10 101 45 1.895 ">43"
6 10 90 44 1.853 ">43"
1 0 163 46 1.937 ">43"
1 0 102 39 1.642 "35-39"
1 0 144 48 2.021 ">43"
1 0 115 43 1.811 "40-43"
1 0 108 43 1.811 "40-43"
1 0 68 34 1.432 "30-34"
1 0 107 42 1.768 "40-43"
1 0 141 42 1.768 "40-43"
1 0 111 42 1.768 "40-43"
1 0 55 32 1.347 "30-34"
1 0 112 42 1.768 "40-43"
1 0 100 39 1.642 "35-39"
2 0 116 43 1.811 "40-43"
2 0 71 35 1.474 "35-39"
2 0 146 46 1.937 ">43"
2 0 119 45 1.895 ">43"
2 0 97 42 1.768 "40-43"
2 0 43 30 1.263 "30-34"
2 0 127 45 1.895 ">43"
2 0 106 43 1.811 "40-43"
2 0 79 35 1.474 "35-39"
2 0 127 45 1.895 ">43"
2 0 114 44 1.853 ">43"
2 0 85 40 1.684 "40-43"
3 0 90 36 1.516 "35-39"
3 0 149 45 1.895 ">43"
3 0 116 41 1.726 "40-43"
3 0 142 47 1.979 ">43"
3 0 90 37 1.558 "35-39"
3 0 73 37 1.558 "35-39"
3 0 151 45 1.895 ">43"
3 0 135 43 1.811 "40-43"
3 0 90 41 1.726 "40-43"
3 0 81 39 1.642 "35-39"
3 0 64 34 1.432 "30-34"
3 0 54 29 1.221 "<30"
4 0 56 31 1.305 "30-34"
4 0 75 38 1.6 "35-39"
4 0 139 46 1.937 ">43"
4 0 127 47 1.979 ">43"
4 0 96 37 1.558 "35-39"
4 0 52 33 1.389 "30-34"
4 0 94 45 1.895 ">43"
4 0 119 41 1.726 "40-43"
4 0 99 44 1.853 ">43"
4 0 117 45 1.895 ">43"
4 0 103 44 1.853 ">43"
4 0 80 39 1.642 "35-39"
6 0 130 43 1.811 "40-43"
6 0 102 40 1.684 "40-43"
6 0 106 43 1.811 "40-43"
6 0 38 27 1.137 "<30"
6 0 49 31 1.305 "30-34"
6 0 120 41 1.726 "40-43"
6 0 113 43 1.811 "40-43"
6 0 65 36 1.516 "35-39"
6 0 126 45 1.895 ">43"
6 0 91 39 1.642 "35-39"
6 0 82 37 1.558 "35-39"
6 0 158 48 2.021 ">43"
5 0 132 47 1.979 ">43"
5 0 64 37 1.558 "35-39"
5 0 109 41 1.726 "40-43"
5 0 59 33 1.389 "30-34"
5 0 120 42 1.768 "40-43"
5 0 56 37 1.558 "35-39"
5 0 189 48 2.021 ">43"
5 0 95 39 1.642 "35-39"
5 0 135 47 1.979 ">43"
5 0 110 41 1.726 "40-43"
5 0 147 46 1.937 ">43"
5 0 135 41 1.726 "40-43"
5 1 159 45 1.895 ">43"
5 1 61 35 1.474 "35-39"
5 1 130 42 1.768 "40-43"
5 1 136 42 1.768 "40-43"
5 1 120 42 1.768 "40-43"
5 1 107 43 1.811 "40-43"
5 1 77 37 1.558 "35-39"
5 1 114 42 1.768 "40-43"
5 1 119 44 1.853 ">43"
5 1 76 38 1.6 "35-39"
5 1 120 43 1.811 "40-43"
5 1 106 40 1.684 "40-43"
5 1 118 43 1.811 "40-43"
5 1 73 36 1.516 "35-39"
5 1 122 43 1.811 "40-43"
5 1 86 39 1.642 "35-39"
5 1 85 39 1.642 "35-39"
5 1 97 43 1.811 "40-43"
5 1 91 37 1.558 "35-39"
5 1 111 42 1.768 "40-43"
5 1 84 NA NA "€"
5 1 118 45 1.895 ">43"
5 1 74 36 1.516 "35-39"
5 1 104 43 1.811 "40-43"
5 1 130 44 1.853 ">43"
5 1 87 36 1.516 "35-39"
5 1 83 40 1.684 "40-43"
5 1 72 37 1.558 "35-39"
5 1 145 45 1.895 ">43"
5 4 42 28 1.179 "<30"
5 4 44 30 1.263 "30-34"
5 4 103 40 1.684 "40-43"
5 4 50 32 1.347 "30-34"
5 4 28 29 1.221 "<30"
5 4 108 45 1.895 ">43"
5 4 118 42 1.768 "40-43"
5 4 97 39 1.642 "35-39"
5 4 96 39 1.642 "35-39"
5 4 34 28 1.179 "<30"
5 4 63 35 1.474 "35-39"
5 4 110 46 1.937 ">43"
5 4 80 36 1.516 "35-39"
5 4 70 40 1.684 "40-43"
5 4 73 36 1.516 "35-39"
5 4 39 31 1.305 "30-34"
5 4 105 42 1.768 "40-43"
5 4 97 39 1.642 "35-39"
