serialnop	age	pweight	sex	hispan	white	black	aian	asian	nhpi	other	race1	marstat	educ	speak	citizen	yr2us	abwork	disable	military	milyrs	esr	lastwrk	clwkr	worklyr	weeks	hours	inctot	persons	tenure	hht	p65	p18	npf	noc	nrc	paoc	parc	fnf	hhl	wif	empstat
7971192	46	8	1	2	0	0	0	0	0	1	8	1	3	1	5	1979	2	2	4	0	1	1	1	1	52	99	19000	8	3	1	0	5	8	5	5	2	2	2	2	4	1
7657036	54	22	1	1	1	0	0	0	0	0	1	5	8	1	1	0	2	2	4	0	6	2	0	2	0	0	0	1	3	4	0	0	0	0	0	4	4	2	2	0	0
6172245	49	11	1	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	4	0	1	1	1	1	52	45	93300	2	1	1	0	0	2	0	0	4	4	2	1	3	1
8188797	36	19	1	2	0	0	0	0	0	1	8	4	1	1	5	1989	2	2	4	0	1	1	1	1	34	40	12000	3	3	2	0	0	2	0	0	4	4	2	2	3	5
5537442	34	21	1	1	1	0	0	0	0	0	1	5	13	2	1	0	2	2	4	0	6	1	1	2	0	0	0	2	3	5	0	0	0	0	0	4	4	2	1	0	0
9776241	38	26	1	1	1	0	0	0	0	0	1	1	6	2	1	0	1	1	4	0	1	1	1	1	30	50	18000	2	2	1	0	0	2	0	0	4	4	2	1	3	1
920521	44	24	2	1	1	0	0	0	0	0	1	3	14	2	1	0	1	1	4	0	1	1	3	1	42	40	71000	3	1	3	0	2	3	2	2	2	2	2	1	2	7
9913324	38	29	2	24	0	0	0	0	0	1	8	1	11	2	1	0	2	2	4	0	1	1	1	1	52	45	50000	2	1	1	0	0	2	0	0	4	4	2	1	3	1
3797085	44	13	1	2	0	0	0	0	0	1	8	1	3	1	4	1982	1	1	4	0	6	1	1	1	52	54	24000	14	1	1	0	3	9	1	3	1	1	2	2	4	1
4869566	35	21	1	2	0	0	0	0	0	1	8	1	5	1	1	0	2	2	4	0	1	1	3	1	49	40	36030	3	1	1	0	1	3	1	1	1	1	2	2	3	1
7169278	63	30	2	1	0	1	0	0	0	0	2	4	12	2	5	1969	1	1	4	0	1	1	3	1	52	40	33000	3	1	3	1	0	3	0	0	4	4	2	1	3	7
2616243	26	8	1	2	1	0	0	0	0	0	1	5	8	1	1	0	1	1	4	0	1	1	1	1	52	40	30000	7	4	1	1	1	7	1	1	2	2	2	2	4	2
5923788	63	14	1	1	0	0	0	1	0	0	6	1	1	1	5	1994	2	2	4	0	6	1	1	2	0	0	630	12	3	1	2	0	12	0	0	4	4	2	4	4	4
199525	37	34	2	1	0	1	0	0	0	0	2	1	10	2	1	0	2	2	4	0	1	1	3	1	52	40	47000	4	1	1	0	1	4	1	1	2	2	2	1	4	1
1743202	43	8	1	1	1	0	0	0	0	0	1	5	13	2	1	0	2	2	4	0	1	1	1	1	52	30	37500	5	3	1	2	0	5	0	0	4	4	2	1	4	3
911024	46	32	2	1	1	0	0	0	0	0	1	1	9	2	1	0	2	2	4	0	6	2	0	2	0	0	0	2	4	1	0	0	2	0	0	4	4	2	1	2	2
9756000	41	48	2	1	0	1	0	0	0	0	2	1	12	2	1	0	2	2	4	0	1	1	1	1	52	40	48000	5	3	1	0	3	5	3	3	2	2	2	1	3	1
2387286	59	18	2	1	0	1	0	0	0	0	2	1	10	2	1	0	1	1	4	0	1	1	1	1	48	50	11300	3	1	1	1	0	3	0	0	4	4	2	1	3	1
5903862	35	8	1	1	0	0	0	1	0	0	6	1	13	1	4	1992	2	2	4	0	1	1	1	1	52	40	25000	8	1	1	2	1	8	1	1	1	1	2	4	4	1
4063434	48	24	2	1	0	0	0	1	0	0	6	1	6	1	5	1997	2	2	4	0	6	2	0	2	0	0	0	3	1	3	0	1	3	1	1	2	2	2	4	2	8
3413210	49	8	2	2	0	0	0	0	0	1	8	1	4	1	4	1965	2	2	4	0	6	1	8	2	0	0	0	6	4	1	1	0	5	0	0	4	4	2	2	4	4
1776504	45	13	1	1	1	0	0	0	0	0	1	1	9	2	1	0	2	2	4	0	1	1	1	1	52	48	23500	5	1	1	0	2	5	1	2	2	3	2	1	4	1
7081653	38	32	1	2	0	0	0	0	0	1	8	4	1	1	5	1984	2	2	4	0	1	1	6	1	52	45	13000	10	1	2	0	5	6	5	5	3	3	2	2	2	5
6234635	29	21	2	1	0	0	0	1	0	0	6	5	13	2	1	0	2	2	4	0	1	1	1	1	30	45	25000	2	3	5	0	0	0	0	0	4	4	2	1	0	0
7305671	31	35	1	1	1	0	0	0	0	0	1	5	13	2	1	0	2	2	4	0	1	1	7	1	50	80	36500	1	3	4	0	0	0	0	0	4	4	2	1	0	0
9612918	27	21	1	1	1	0	0	0	0	0	1	5	13	2	1	0	2	2	4	0	1	1	1	1	52	40	24960	2	3	5	0	0	0	0	0	4	4	2	1	0	0
7773956	27	34	2	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	4	0	1	1	1	1	52	40	19100	2	1	1	0	0	2	0	0	4	4	2	1	3	1
4323118	43	42	1	1	0	0	0	1	0	0	6	1	12	1	4	1981	2	2	4	0	1	1	1	1	52	40	72000	4	1	1	0	2	4	2	2	3	3	2	4	3	1
271972	48	23	2	2	0	0	0	0	0	1	8	3	7	2	1	0	1	1	4	0	1	1	1	1	48	48	10700	5	1	3	0	2	5	1	2	2	3	2	1	4	7
2330747	65	16	2	2	0	0	0	0	0	1	8	2	2	2	5	1970	2	2	4	0	6	2	0	2	0	0	0	6	3	7	2	0	0	0	0	4	4	2	2	0	0
4784804	64	8	1	1	1	0	0	0	0	0	1	1	14	2	1	0	2	2	2	1	1	1	1	1	16	30	97200	2	2	1	0	0	2	0	0	4	4	2	1	2	2
7152735	51	26	1	1	1	0	0	0	0	0	1	3	13	2	1	0	2	2	2	1	1	1	1	1	21	50	26300	1	3	4	0	0	0	0	0	4	4	2	1	0	0
5479566	51	39	1	2	0	0	0	0	0	1	8	5	7	1	1	0	2	1	4	0	6	1	1	1	4	40	380	2	3	5	0	0	0	0	0	4	4	2	2	0	0
275884	28	16	1	11	0	0	0	0	0	1	8	1	1	1	5	1999	1	1	4	0	2	1	1	2	0	0	0	5	3	1	0	2	4	2	2	2	2	2	2	2	2
6585217	52	21	1	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	4	0	1	1	6	1	52	40	36600	5	2	1	0	2	5	2	2	2	2	2	1	4	1
1059058	64	21	1	1	1	0	0	0	0	0	1	1	11	2	1	0	1	1	2	2	6	2	0	2	0	0	36000	2	1	1	0	0	2	0	0	4	4	2	1	1	4
2048624	47	13	1	1	1	0	0	0	0	0	1	1	10	2	1	0	2	2	4	0	1	1	4	1	52	40	54000	4	1	1	0	2	4	2	2	2	2	2	1	3	1
9993033	49	26	1	1	1	0	0	0	0	0	1	1	14	2	1	0	2	2	4	0	1	1	3	1	36	40	60000	3	1	1	0	1	3	1	1	2	2	2	1	3	2
7655538	41	13	2	1	1	0	0	0	0	0	1	1	16	2	1	0	2	2	4	0	1	1	7	1	45	40	48000	5	1	1	0	3	5	3	3	3	3	2	1	3	1
5880601	64	19	1	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	2	2	6	1	1	2	0	0	36000	2	2	1	0	0	2	0	0	4	4	2	1	2	3
