serialnop	age	pweight	sex	hispan	white	black	aian	asian	nhpi	other	race1	marstat	educ	speak	citizen	yr2us	abwork	disable	military	milyrs	esr	lastwrk	clwkr	worklyr	weeks	hours	inctot	persons	tenure	hht	p65	p18	npf	noc	nrc	paoc	parc	fnf	hhl	wif	empstat
9875451	53	24	2	1	0	0	0	1	0	0	6	3	14	2	1	0	2	1	4	0	1	1	5	1	50	40	65000	1	3	6	0	0	0	0	0	4	4	2	1	0	0
2099739	46	26	2	1	0	1	0	0	0	0	2	1	8	2	1	0	2	2	4	0	6	1	2	1	16	60	7000	2	3	1	0	0	2	0	0	4	4	2	1	3	4
8564955	31	19	1	1	0	0	0	1	0	0	6	1	11	1	4	1978	2	2	4	0	1	1	1	1	48	40	32000	3	3	1	0	1	3	1	1	1	1	2	4	2	2
4357577	23	13	2	1	1	0	0	0	0	0	1	5	9	2	4	1979	2	2	4	0	6	1	1	2	0	0	4100	7	1	1	2	3	7	0	3	4	1	2	1	2	4
3862069	38	21	1	1	1	0	0	0	0	0	1	5	11	2	1	0	2	2	2	2	1	1	1	1	52	40	43000	3	3	3	0	1	2	1	1	2	2	2	1	2	8
3812600	25	29	2	2	0	0	0	0	0	1	8	5	15	1	4	1975	2	2	4	0	1	1	4	1	40	50	36000	6	1	1	1	2	6	2	2	2	2	2	2	4	1
5109845	58	18	2	1	0	0	0	1	0	0	6	1	5	1	5	1991	2	1	4	0	6	1	1	2	0	0	0	5	3	1	0	0	5	0	0	4	4	2	4	3	4
7854096	47	21	2	1	1	0	0	0	0	0	1	5	12	1	1	0	2	2	2	1	1	1	1	1	52	60	50000	2	1	7	0	0	0	0	0	4	4	2	2	0	0
85552	54	32	2	1	1	0	0	0	0	0	1	1	11	2	1	0	2	1	4	0	6	1	5	2	0	0	1000	3	1	1	0	0	3	0	0	4	4	2	1	2	2
7552020	33	24	2	2	0	0	0	0	0	1	8	1	2	1	5	1996	2	2	4	0	1	1	1	2	0	0	0	6	3	1	0	3	6	3	3	2	2	2	2	3	1
764557	41	16	2	2	0	0	0	0	0	1	8	1	12	2	1	0	2	2	4	0	1	1	1	1	52	45	16200	4	3	1	0	1	4	1	1	2	2	2	1	4	1
3031287	43	16	1	2	1	0	0	0	0	1	9	1	11	2	1	0	2	2	4	0	1	1	4	1	52	40	60000	4	1	1	0	1	4	1	1	2	2	2	1	4	1
9514897	62	16	1	1	0	0	0	1	0	0	6	1	10	1	4	1975	2	2	4	0	6	2	0	2	0	0	145300	3	1	1	0	0	3	0	0	4	4	2	4	2	4
3236614	27	27	2	2	0	0	0	0	0	1	8	1	8	1	4	1978	2	2	4	0	1	1	1	1	32	35	6300	4	3	1	0	2	4	2	2	1	1	2	2	3	1
5182454	27	10	1	2	0	0	0	0	0	1	8	5	1	1	5	1990	1	1	4	0	1	1	1	1	50	40	17000	4	3	2	0	2	3	2	2	3	3	2	2	2	5
8601043	29	29	1	1	0	1	0	0	0	0	2	5	13	2	1	0	2	2	4	0	6	1	1	1	52	40	80000	1	3	4	0	0	0	0	0	4	4	2	1	0	0
9938581	36	15	1	1	1	0	0	0	0	0	1	3	9	2	1	0	1	1	4	0	6	2	0	2	0	0	9900	3	1	1	2	0	3	0	0	4	4	2	1	2	2
3747982	46	24	2	1	1	0	0	0	0	0	1	1	10	2	1	0	2	2	4	0	1	1	4	1	40	15	9030	4	1	1	0	2	4	2	2	2	2	2	3	3	1
1886371	39	21	2	1	0	0	0	1	0	0	6	1	1	1	4	1997	2	2	4	0	6	2	0	2	0	0	2700	4	3	1	0	2	4	2	2	1	1	2	4	2	4
5942302	41	24	1	1	1	0	0	0	0	0	1	1	10	2	1	0	2	2	4	0	1	1	1	1	52	70	62000	4	1	1	0	2	4	2	2	2	2	2	1	4	2
4702214	24	18	1	2	1	0	0	0	0	0	1	5	6	1	4	1988	2	2	4	0	1	1	1	1	52	40	14000	6	2	1	1	1	4	1	1	2	2	2	2	4	1
1439767	29	13	1	1	1	0	0	0	0	0	1	5	9	2	1	0	2	2	4	0	1	1	3	1	40	40	13700	2	3	5	0	0	0	0	0	4	4	2	1	0	0
